Predicted Time,Predicted Traffic (Vehicles)
2015-11-03 07:00:00,14.365445
2015-11-04 07:00:00,13.884452
2015-11-05 07:00:00,13.27306
2015-11-06 07:00:00,12.77685
2015-11-07 07:00:00,12.468714
2015-11-08 07:00:00,12.187276
2015-11-09 07:00:00,11.871385
2015-11-10 07:00:00,11.45731
2015-11-11 07:00:00,10.917954
2015-11-12 07:00:00,10.190218
2015-11-13 07:00:00,9.318969
2015-11-14 07:00:00,8.423333
2015-11-15 07:00:00,7.703674
2015-11-16 07:00:00,7.228572
2015-11-17 07:00:00,6.9883485
2015-11-18 07:00:00,6.9919376
2015-11-19 07:00:00,7.2772207
2015-11-20 07:00:00,7.8771625
2015-11-21 07:00:00,8.796104
2015-11-22 07:00:00,9.864674
2015-11-23 07:00:00,10.701079
2015-11-24 07:00:00,11.160044
2015-11-25 07:00:00,11.27767
2015-11-26 07:00:00,11.271133
